date,AMD,INTC,MSFT,NVDA,SPY
2023-01-31,75.15,28.26,247.81,19.537,406.48
2023-02-28,78.58,24.93,249.42,23.216,396.26
2023-03-31,98.01,32.67,288.3,27.777,409.39
2023-04-30,89.37,31.06,307.26,27.749,415.93
2023-05-31,118.21,31.44,328.39,37.834,417.85
2023-06-30,113.91,33.44,340.54,42.302,443.28
2023-07-31,114.4,35.77,335.92,46.729,457.79
2023-08-31,105.72,35.14,327.76,49.355,450.35
2023-09-30,102.82,35.55,315.75,43.499,427.48
2023-10-31,98.5,36.5,338.11,40.78,418.2
2023-11-30,121.16,44.7,378.91,46.77,456.4
2023-12-31,147.41,50.25,376.04,49.522,475.31
2024-01-31,167.69,43.08,397.58,61.527,482.88
2024-02-29,192.53,43.05,413.64,79.112,508.08
2024-03-31,180.49,44.17,420.72,90.356,523.07
2024-04-30,158.38,30.47,389.33,86.402,501.98
2024-05-31,166.9,30.85,415.13,109.633,527.37
2024-06-30,162.21,30.97,446.95,123.54,544.22
2024-07-31,144.48,30.74,418.35,117.02,550.81
2024-08-31,148.56,22.04,417.14,119.37,563.68
2024-09-30,164.08,23.46,430.3,121.44,573.76
2024-10-31,144.07,21.52,406.35,132.76,568.64
2024-11-30,137.175,24.05,423.46,138.25,602.55
2024-12-31,120.79,20.05,421.5,134.29,586.08
