,month,potential_inflation,industrial_prod,risk_free
0,2015-01-01,253.383,102.7923,0.2
1,2015-02-01,254.369,102.1366,0.22
2,2015-03-01,255.612,101.7869,0.25
3,2015-04-01,256.168,101.2255,0.23
4,2015-05-01,257.238,100.7675,0.24
5,2015-06-01,258.201,100.4588,0.28
6,2015-07-01,258.3,101.0893,0.3
7,2015-08-01,257.978,100.9165,0.38
8,2015-09-01,257.695,100.633,0.37
9,2015-10-01,257.741,100.1563,0.26
10,2015-11-01,257.402,99.4366,0.48
11,2015-12-01,256.758,98.9471,0.65
12,2016-01-01,257.334,99.4391,0.54
13,2016-02-01,257.76,98.9232,0.53
14,2016-03-01,258.706,98.1635,0.66
15,2016-04-01,259.773,98.4775,0.56
16,2016-05-01,260.798,98.2549,0.59
17,2016-06-01,261.689,98.7315,0.55
18,2016-07-01,261.501,98.8452,0.51
19,2016-08-01,261.846,98.7427,0.57
20,2016-09-01,262.418,98.6552,0.59
21,2016-10-01,262.724,98.7237,0.66
22,2016-11-01,262.518,98.3443,0.74
23,2016-12-01,262.678,99.0406,0.87
24,2017-01-01,264.153,98.8158,0.83
25,2017-02-01,265.079,98.4356,0.82
26,2017-03-01,265.357,99.0492,1.01
27,2017-04-01,266.03,100.0416,1.04
28,2017-05-01,266.308,100.128,1.12
29,2017-06-01,266.665,100.337,1.2
30,2017-07-01,266.581,100.0865,1.22
31,2017-08-01,267.224,99.6323,1.23
32,2017-09-01,268.318,99.7482,1.28
33,2017-10-01,268.306,100.9893,1.4
34,2017-11-01,268.372,101.2493,1.56
35,2017-12-01,268.379,101.4871,1.7
36,2018-01-01,269.83,101.4852,1.8
37,2018-02-01,270.961,101.7319,1.96
38,2018-03-01,271.618,102.1943,2.06
39,2018-04-01,272.533,103.3551,2.15
40,2018-05-01,273.568,102.381,2.27
41,2018-06-01,274.1,103.2256,2.33
42,2018-07-01,274.185,103.3561,2.39
43,2018-08-01,274.314,104.0585,2.45
44,2018-09-01,274.534,104.1038,2.56
45,2018-10-01,274.872,103.9297,2.65
46,2018-11-01,274.317,104.0126,2.7
47,2018-12-01,273.824,104.0451,2.66
48,2019-01-01,274.508,103.3598,2.58
49,2019-02-01,275.541,102.8251,2.55
50,2019-03-01,276.859,102.8361,2.49
51,2019-04-01,278.102,102.2748,2.42
52,2019-05-01,278.668,102.4176,2.34
53,2019-06-01,278.892,102.5425,2.0
54,2019-07-01,279.393,102.0057,1.96
55,2019-08-01,279.421,102.7814,1.77
56,2019-09-01,279.587,102.4601,1.8
57,2019-10-01,280.303,101.5878,1.61
58,2019-11-01,280.376,102.1494,1.57
59,2019-12-01,280.315,101.9421,1.55
60,2020-01-01,281.482,101.3372,1.53
61,2020-02-01,282.284,101.6718,1.41
62,2020-03-01,281.778,97.606,0.33
63,2020-04-01,280.266,84.6812,0.18
64,2020-05-01,280.306,86.0108,0.16
65,2020-06-01,281.716,91.6745,0.18
66,2020-07-01,282.939,95.0037,0.15
67,2020-08-01,283.593,95.9294,0.13
68,2020-09-01,283.885,95.8914,0.13
69,2020-10-01,284.006,96.5256,0.13
70,2020-11-01,283.922,96.9529,0.12
71,2020-12-01,284.217,98.2039,0.1
72,2021-01-01,285.422,98.8135,0.1
73,2021-02-01,286.939,95.5072,0.07
74,2021-03-01,288.726,98.1929,0.08
75,2021-04-01,290.74,98.3317,0.06
76,2021-05-01,292.759,99.1867,0.05
77,2021-06-01,295.083,99.6483,0.07
78,2021-07-01,296.456,100.0668,0.08
79,2021-08-01,297.114,100.0412,0.07
80,2021-09-01,297.988,98.9955,0.08
